"Latitude_WGS84";"Name";"AdmArea";"District";"Location";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Longitude_WGS84";"global_id";"geoData";
"55.778899615";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 20, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.557484154";"276298149";"{type=Point, coordinates=[37.557484154, 55.778899615]}";
"55.778839709";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.55927219";"276298150";"{type=Point, coordinates=[37.55927219, 55.778839709]}";
"55.778867029";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559303071";"276298151";"{type=Point, coordinates=[37.559303071, 55.778867029]}";
"55.779317813";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.560195304";"276298152";"{type=Point, coordinates=[37.560195304, 55.779317813]}";
"55.779027574";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559966833";"276298153";"{type=Point, coordinates=[37.559966833, 55.779027574]}";
"55.778691863";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559692209";"276298154";"{type=Point, coordinates=[37.559692209, 55.778691863]}";
"55.778347356";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559433859";"276298156";"{type=Point, coordinates=[37.559433859, 55.778347356]}";
"55.777877281";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559196091";"276298157";"{type=Point, coordinates=[37.559196091, 55.777877281]}";
"55.779294503";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.565888533";"276298158";"{type=Point, coordinates=[37.565888533, 55.779294503]}";
"55.748995827";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Берниковская набережная, дом 12, строение 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.648622762";"276298160";"{type=Point, coordinates=[37.648622762, 55.748995827]}";
"55.741110045";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Берсеневская набережная, дом 8, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.60873763";"276298161";"{type=Point, coordinates=[37.60873763, 55.741110045]}";
"55.741101062";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Берсеневская набережная, дом 8, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.608737949";"276298162";"{type=Point, coordinates=[37.608737949, 55.741101062]}";
"55.7407729";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Берсеневский переулок, дом 5, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.610708915";"276298163";"{type=Point, coordinates=[37.610708915, 55.7407729]}";
"55.74077272";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Берсеневский переулок, дом 5, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.610692992";"276298164";"{type=Point, coordinates=[37.610692992, 55.74077272]}";
"55.764958107";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Бобров переулок, дом 8, строение 10";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.635048502";"276298165";"{type=Point, coordinates=[37.635048502, 55.764958107]}";
"55.763378102";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 16/6, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.598461369";"276298166";"{type=Point, coordinates=[37.598461369, 55.763378102]}";
"55.76337792";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 16/6, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.598445437";"276298168";"{type=Point, coordinates=[37.598445437, 55.76337792]}";
"55.762132616";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.600354848";"276298169";"{type=Point, coordinates=[37.600354848, 55.762132616]}";
"55.762141962";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.600386389";"276298170";"{type=Point, coordinates=[37.600386389, 55.762141962]}";
"55.762584463";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.59899986";"276298171";"{type=Point, coordinates=[37.59899986, 55.762584463]}";
"55.762628831";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.598950454";"276298173";"{type=Point, coordinates=[37.598950454, 55.762628831]}";
"55.762361083";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 8/15, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.599900399";"276298174";"{type=Point, coordinates=[37.599900399, 55.762361083]}";
"55.756165311";"Городской Wi-Fi";"Центральный административный округ";"Тверской район";"город Москва, Богоявленский переулок, дом 2, строение 4";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.62338815";"276298175";"{type=Point, coordinates=[37.62338815, 55.756165311]}";
"55.745141304";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Болотная улица, дом 18, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.618774048";"276298176";"{type=Point, coordinates=[37.618774048, 55.745141304]}";
"55.743324911";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Серафимовича, дом 5/16";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.615476946";"276298177";"{type=Point, coordinates=[37.615476946, 55.743324911]}";
"55.739825372";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Болотная набережная, дом 3, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.60956385";"276298178";"{type=Point, coordinates=[37.60956385, 55.739825372]}";
"55.739807767";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Болотная набережная, дом 3, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.609596334";"276298180";"{type=Point, coordinates=[37.609596334, 55.739807767]}";
"55.744585907";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Серафимовича, дом 5/16";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.614938437";"276298181";"{type=Point, coordinates=[37.614938437, 55.744585907]}";
"55.746452779";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Болотная улица, дом 10";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.618727711";"276298182";"{type=Point, coordinates=[37.618727711, 55.746452779]}";
"55.744822156";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Серафимовича, дом 2, строение 2";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.613575947";"276298183";"{type=Point, coordinates=[37.613575947, 55.744822156]}";
"55.754811312";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, Борисоглебский переулок, дом 12";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.590354973";"276298185";"{type=Point, coordinates=[37.590354973, 55.754811312]}";
"55.725300712";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 11";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.563250745";"276298186";"{type=Point, coordinates=[37.563250745, 55.725300712]}";
"55.725073867";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 11";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.5638323";"276298187";"{type=Point, coordinates=[37.5638323, 55.725073867]}";
"55.725073681";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 11";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.563816384";"276298188";"{type=Point, coordinates=[37.563816384, 55.725073681]}";
"55.725760767";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.561864456";"276298189";"{type=Point, coordinates=[37.561864456, 55.725760767]}";
"55.725742988";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.561881032";"276298190";"{type=Point, coordinates=[37.561881032, 55.725742988]}";
"55.726257077";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.561272969";"276298191";"{type=Point, coordinates=[37.561272969, 55.726257077]}";
"55.726245112";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.561018635";"276298193";"{type=Point, coordinates=[37.561018635, 55.726245112]}";
"55.758336202";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.558020287";"276298194";"{type=Point, coordinates=[37.558020287, 55.758336202]}";
"55.758318237";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.55802095";"276298195";"{type=Point, coordinates=[37.55802095, 55.758318237]}";
"55.763119337";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.558991311";"276298196";"{type=Point, coordinates=[37.558991311, 55.763119337]}";
"55.76311915";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.55897538";"276298197";"{type=Point, coordinates=[37.55897538, 55.76311915]}";
"55.76242655";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559686266";"276298199";"{type=Point, coordinates=[37.559686266, 55.76242655]}";
"55.761628437";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559062239";"276298200";"{type=Point, coordinates=[37.559062239, 55.761628437]}";
"55.760930249";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.558530175";"276298201";"{type=Point, coordinates=[37.558530175, 55.760930249]}";
"55.763024594";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.560875534";"276298202";"{type=Point, coordinates=[37.560875534, 55.763024594]}";
"55.735676906";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Абельмановская улица, дом 11";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.671571928";"276298203";"{type=Point, coordinates=[37.671571928, 55.735676906]}";
"55.737422484";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Абельмановская улица, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67261164";"276298205";"{type=Point, coordinates=[37.67261164, 55.737422484]}";
"55.737377397";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Абельмановская улица, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.672597243";"276298206";"{type=Point, coordinates=[37.672597243, 55.737377397]}";
"55.736625621";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Абельмановская улица, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.672049376";"276298207";"{type=Point, coordinates=[37.672049376, 55.736625621]}";
"55.720979707";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Академика Петровского, дом 5, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.603896982";"276298208";"{type=Point, coordinates=[37.603896982, 55.720979707]}";
"55.720988509";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Академика Петровского, дом 5, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.603880747";"276298209";"{type=Point, coordinates=[37.603880747, 55.720988509]}";
"55.769506174";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, проспект Академика Сахарова, дом 12";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.643258502";"276298210";"{type=Point, coordinates=[37.643258502, 55.769506174]}";
"55.771767503";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 12";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.634045324";"276298211";"{type=Point, coordinates=[37.634045324, 55.771767503]}";
"55.771004801";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 4";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636574806";"276298213";"{type=Point, coordinates=[37.636574806, 55.771004801]}";
"55.771022943";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 4";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636590114";"276298215";"{type=Point, coordinates=[37.636590114, 55.771022943]}";
"55.771686569";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 6";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.635658269";"276298216";"{type=Point, coordinates=[37.635658269, 55.771686569]}";
"55.77125695";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 7";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.635003732";"276298217";"{type=Point, coordinates=[37.635003732, 55.77125695]}";
"55.771274207";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 7";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.634939362";"276298218";"{type=Point, coordinates=[37.634939362, 55.771274207]}";
"55.74170953";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Малая Андроньевская улица, дом 24";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.673501516";"276298219";"{type=Point, coordinates=[37.673501516, 55.74170953]}";
"55.741619873";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Малая Андроньевская улица, дом 24";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.673520487";"276298220";"{type=Point, coordinates=[37.673520487, 55.741619873]}";
"55.750716436";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 12, строение 2";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.595314509";"276298221";"{type=Point, coordinates=[37.595314509, 55.750716436]}";
"55.749688975";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 26";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.591909937";"276298222";"{type=Point, coordinates=[37.591909937, 55.749688975]}";
"55.749680578";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 26";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.591177328";"276298223";"{type=Point, coordinates=[37.591177328, 55.749680578]}";
"55.74984565";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 31";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.59303553";"276298224";"{type=Point, coordinates=[37.59303553, 55.74984565]}";
"55.749817243";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 31";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.59290909";"276298227";"{type=Point, coordinates=[37.59290909, 55.749817243]}";
"55.749218265";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 37/2, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.59082754";"276298228";"{type=Point, coordinates=[37.59082754, 55.749218265]}";
"55.749060331";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 38/1, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.588029094";"276298229";"{type=Point, coordinates=[37.588029094, 55.749060331]}";
"55.749069313";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 38/1, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.58802877";"276298230";"{type=Point, coordinates=[37.58802877, 55.749069313]}";
"55.752108738";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 4, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.599200126";"276298231";"{type=Point, coordinates=[37.599200126, 55.752108738]}";
"55.752099574";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 4, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.599184521";"276298232";"{type=Point, coordinates=[37.599184521, 55.752099574]}";
"55.748513125";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 40";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.58811259";"276298233";"{type=Point, coordinates=[37.58811259, 55.748513125]}";
"55.748649309";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 43";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.58901582";"276298234";"{type=Point, coordinates=[37.58901582, 55.748649309]}";
"55.747956571";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 45/24";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.588164557";"276298235";"{type=Point, coordinates=[37.588164557, 55.747956571]}";
"55.748174363";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 47/23";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.587567197";"276298236";"{type=Point, coordinates=[37.587567197, 55.748174363]}";
"55.74774523";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 51, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.586196612";"276298239";"{type=Point, coordinates=[37.586196612, 55.74774523]}";
